uuid,activation_date,total_cost,product_name,customer_gender,long,lat,country,follow_on_cost,downpmt_cost,contract_days,follow_on_days,receivable_per_day,organization,exchange_rate,adm2
7fa1ef4d,2022-05-15,10964.91228,SunClassic,Male,38.811,-0.528,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TANA RIVER
7fa330af,2024-10-16,10964.91228,SunClassic,Female,38.163,0.133,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MERU
7fa82c6c,2023-10-14,10964.91228,SunClassic,Male,38.554,2.086,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
7fa8b552,2021-01-02,16447.36842,SunClassic + Radio,Female,40.289,1.266,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,WAJIR
7fa8fe01,2024-07-10,10964.91228,SunClassic,Female,40.204,-1.531,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
7faabb33,2023-10-04,16447.36842,SunClassic + Radio,Male,36.489,1.616,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,SAMBURU
7fab7464,2023-05-12,41152.26337,SunCookstove,Female,10.949,12.447,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Yobe
7fad1c35,2024-04-09,10964.91228,SunClassic,Male,36.935,0.539,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,LAIKIPIA
7fafa706,2024-09-27,82304.52675,SunExtra + Radio,Female,11.363,7.774,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Taraba
7fb045da,2024-08-11,10964.91228,SunClassic,Male,39.615,3.158,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,WAJIR
7fb1432b,2024-05-11,10964.91228,SunClassic,Male,38.732,0.857,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,ISIOLO
7fb3a61e,2023-01-06,41152.26337,SunClassic,Male,6.263,8.282,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Kogi
7fb428e9,2023-09-30,109649.1228,SunPump,Female,37.999,3.164,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,MARSABIT
7fb53f33,2024-09-16,41152.26337,SunClassic,Female,8.602,7.505,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Benue
7fbf79e8,2022-11-07,102880.6584,SunSuper TV,Female,10.285,8.554,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Taraba
7fbf9e50,2024-08-13,10964.91228,SunClassic,Female,36.903,1.361,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,SAMBURU
7fc1b73a,2023-07-14,102880.6584,SunSuper TV,Female,5.816,8.46,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Kwara
7fc2d267,2022-07-21,10964.91228,SunClassic,Female,38.71,-0.361,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TANA RIVER
7fc4e13e,2023-08-23,82304.52675,SunExtra + Radio,Female,8.71,7.845,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Benue
7fc61ea5,2024-01-07,102880.6584,SunSuper TV,Female,9.982,9.966,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Bauchi
7fcd0908,2023-06-06,10964.91228,SunCookstove,Male,36.766,0.538,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,LAIKIPIA
7fceb62e,2024-02-01,61728.39506,SunClassic + Radio,Female,5.569,8.686,Nigeria,57613.16872,4115.226337,150,140,411.5226337,SunCompany,0.00243,Kwara
7fd430c3,2024-10-26,10964.91228,SunCookstove,Female,39.903,-0.143,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
7fd6ba7a,2021-03-13,102880.6584,SunSuper TV,Male,8.317,11.794,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Kano
7fd97f57,2023-02-12,61728.39506,SunClassic + Radio,Male,8.098,9.393,Nigeria,57613.16872,4115.226337,150,140,411.5226337,SunCompany,0.00243,Kaduna
7fdb60dd,2024-06-23,10964.91228,SunClassic,Female,39.904,0.157,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
7fde27fc,2024-08-06,21929.82456,SunExtra + Radio,Male,37.686,2.906,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,MARSABIT
7fdf211f,2023-04-16,102880.6584,SunSuper TV,Female,5.177,9.291,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Niger
7fe492a2,2021-12-20,10964.91228,SunCookstove,Male,38.395,1.159,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,ISIOLO
7fe53c3a,2024-07-02,10964.91228,SunClassic,Male,35.9,1.471,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,BARINGO
7fe5b6cd,2023-10-03,41152.26337,SunCookstove,Female,7.476,10.531,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Kaduna
7fe727ad,2021-06-16,41152.26337,SunClassic,Female,11.426,10.601,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Gombe
7Feb4219,2023-05-11,10964.91228,SunCookstove,Female,35.688,-0.329,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,NAKURU
7ff856eb,2023-10-31,10964.91228,SunCookstove,Female,36.215,1.496,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TURKANA
7ff86e31,2023-10-07,10964.91228,SunClassic,Male,37.829,-0.268,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,THARAKA-NITHI
7ff91b93,2022-06-25,27412.2807,SunSuper TV,Male,38.664,-1.318,Kenya,25219.29825,2192.982456,125,115,219.2982456,SunCompany,0.00912,KITUI
7ffa9b81,2023-10-20,10964.91228,SunClassic,Male,36.791,1.807,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,SAMBURU
7ffbb45c,2023-11-06,109649.1228,SunPump,Male,37.778,1.893,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,MARSABIT
7ffbbe32,2024-06-06,16447.36842,SunClassic + Radio,Male,35.514,2.111,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,TURKANA
7ffcf14b,2022-07-07,10964.91228,SunCookstove,Male,38.824,0.724,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,ISIOLO
7ffecbf7,2023-10-06,10964.91228,SunClassic,Male,35.633,0.638,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,BARINGO
7fffb6a8,2024-01-30,10964.91228,SunClassic,Female,35.478,-0.871,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,NAROK
7ffff0ad,2023-01-02,10964.91228,SunCookstove,Female,38.854,2.902,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
80018ae5,2023-01-21,82304.52675,SunExtra + Radio,Female,11.016,9.717,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Gombe
80023436,2023-09-22,82304.52675,SunExtra + Radio,Male,6.577,8.663,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Niger
8003f70d,2023-01-07,10964.91228,SunClassic,Female,39.471,2.599,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,WAJIR
80072bfc,2023-12-20,21929.82456,SunExtra + Radio,Female,39.128,-0.063,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,TANA RIVER
80099cbd,2023-03-08,10964.91228,SunClassic,Male,38.863,-1.294,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,KITUI
8009bd82,2024-04-02,21929.82456,SunExtra + Radio,Female,39.029,3.243,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,MARSABIT
8012aa12,2024-09-12,10964.91228,SunClassic,Female,40.269,3.339,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MANDERA
8018afcd,2022-08-25,109649.1228,SunPump,Male,37.199,-0.634,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,KIRINYAGA
8019c08d,2024-07-01,82304.52675,SunExtra + Radio,Female,7.72,11.564,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Kano
801a7a2d,2024-04-25,16447.36842,SunClassic + Radio,Male,38.075,-0.94,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,KITUI
801b6119,2023-08-29,10964.91228,SunClassic,Male,38.676,3.102,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
801c077f,2023-09-24,82304.52675,SunExtra + Radio,Female,9.949,9.277,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Plateau
801d0cd2,2023-04-17,10964.91228,SunClassic,Male,38.579,-0.442,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,KITUI
801f3eb4,2022-12-09,16447.36842,SunClassic + Radio,Female,39.147,3.16,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,MARSABIT
80264f0e,2021-02-25,109649.1228,SunPump,Male,35.976,1.005,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,BARINGO
80269f22,2024-02-13,10964.91228,SunClassic,Female,37.066,2.641,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
802d537c,2023-11-06,109649.1228,SunPump,Female,37.19,1.417,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,SAMBURU
802ddfbb,2024-08-01,16447.36842,SunClassic + Radio,Female,36.514,1.702,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,SAMBURU
802e2e1d,2024-09-09,10964.91228,SunCookstove,Female,40.483,-0.095,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
8032fa37,2024-01-28,10964.91228,SunCookstove,Female,35.448,3.237,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TURKANA
80355dd4,2024-01-14,10964.91228,SunClassic,Female,38.383,0.161,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,ISIOLO
8035fc00,2022-02-19,21929.82456,SunExtra + Radio,Male,37.919,0.281,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,MERU
803aed73,2021-04-13,102880.6584,SunSuper TV,Male,5.491,9.431,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Niger
803b4a45,2024-01-17,41152.26337,SunClassic,Female,5.755,8.586,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Kwara
803b5e52,2023-03-26,10964.91228,SunCookstove,Male,38.609,3.303,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
803c0717,2023-12-22,21929.82456,SunExtra + Radio,Female,35.26,-0.336,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,KERICHO
803da276,2022-03-20,41152.26337,SunClassic,Female,6.046,8.335,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Kogi
803e18ce,2024-09-25,10964.91228,SunCookstove,Female,38.764,0.925,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,ISIOLO
803ea7a3,2021-12-03,10964.91228,SunClassic,Male,36.671,0.721,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,LAIKIPIA
803f42e8,2024-03-02,411522.6337,SunPump,Male,9.604,11.993,Nigeria,349794.2387,61728.39506,400,340,1028.806584,SunCompany,0.00243,Jigawa
8042eab1,2023-10-09,10964.91228,SunClassic,Female,40.081,1.155,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,WAJIR
8044d019,2023-08-11,41152.26337,SunCookstove,Female,6.562,9.676,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Niger
80467e3a,2022-03-10,10964.91228,SunCookstove,Female,37.58,0.639,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,SAMBURU
804de3d9,2022-10-30,411522.6337,SunPump,Female,11.033,9.146,Nigeria,349794.2387,61728.39506,400,340,1028.806584,SunCompany,0.00243,Taraba
804ed750,2022-04-01,10964.91228,SunClassic,Female,38.312,-1.344,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,KITUI
805193ec,2023-03-20,10964.91228,SunClassic,Male,35.978,-1.579,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,NAROK
805480b5,2024-09-06,102880.6584,SunSuper TV,Male,4.513,12.311,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Kebbi
8057cfdb,2024-09-14,10964.91228,SunClassic,Female,35.754,1.962,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TURKANA
805f4648,2023-12-03,27412.2807,SunSuper TV,Female,35.869,-0.666,Kenya,25219.29825,2192.982456,125,115,219.2982456,SunCompany,0.00912,NAROK
806104d9,2024-03-14,27412.2807,SunSuper TV,Female,36.528,2.116,Kenya,25219.29825,2192.982456,125,115,219.2982456,SunCompany,0.00912,TURKANA
8062d2ea,2024-09-12,16447.36842,SunClassic + Radio,Male,40.409,0.602,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,WAJIR
80647211,2023-09-09,10964.91228,SunClassic,Female,36.007,3.163,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TURKANA
806676ef,2024-02-15,10964.91228,SunClassic,Female,38.931,-0.888,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TANA RIVER
8066b66b,2024-01-25,10964.91228,SunClassic,Female,35.397,0.562,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,UASIN GISHU
8066e68b,2024-10-10,411522.6337,SunPump,Female,6.573,8.91,Nigeria,349794.2387,61728.39506,400,340,1028.806584,SunCompany,0.00243,Niger
806b7425,2023-10-09,16447.36842,SunClassic + Radio,Female,39.409,-0.699,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,TANA RIVER
806f5765,2023-02-03,16447.36842,SunClassic + Radio,Female,39.362,2.207,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,WAJIR
806f95be,2021-10-25,10964.91228,SunClassic,Male,39.85,2.704,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,WAJIR
8072be0d,2024-09-13,10964.91228,SunCookstove,Female,38.6,2.675,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
8072d3a9,2024-09-28,102880.6584,SunSuper TV,Male,11.384,9.197,Nigeria,94650.20576,8230.452675,125,115,823.0452675,SunCompany,0.00243,Taraba
80735a43,2024-04-11,10964.91228,SunClassic,Male,36.245,1.565,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,TURKANA
8077b279,2023-10-01,16447.36842,SunClassic + Radio,Female,39.169,0.402,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,GARISSA
807e0cec,2024-08-08,82304.52675,SunExtra + Radio,Male,4.484,8.264,Nigeria,78189.30041,4115.226337,100,95,823.0452675,SunCompany,0.00243,Kwara
808260fa,2023-10-27,109649.1228,SunPump,Female,36.507,1.937,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,TURKANA
80851140,2024-01-25,21929.82456,SunExtra + Radio,Female,37.535,-0.782,Kenya,20833.33333,1096.491228,100,95,219.2982456,SunCompany,0.00912,EMBU
808675c2,2024-06-30,109649.1228,SunPump,Male,38.251,1.63,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,MARSABIT
8086f253,2024-01-24,10964.91228,SunClassic,Female,38.195,2.445,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,MARSABIT
80872d0b,2022-08-11,10964.91228,SunCookstove,Female,39.401,0.694,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
808c9a27,2023-02-10,10964.91228,SunClassic,Male,36.515,0.678,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,LAIKIPIA
808dfb26,2021-09-07,41152.26337,SunClassic,Female,10.424,9.629,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Bauchi
8.09E+06,2023-07-29,41152.26337,SunCookstove,Female,10.596,8.496,Nigeria,39094.65021,2057.613169,100,95,411.5226337,SunCompany,0.00243,Taraba
80942a77,2023-04-18,109649.1228,SunPump,Male,40.103,-0.866,Kenya,93201.75439,16447.36842,400,340,274.122807,SunCompany,0.00912,GARISSA
809d6739,2022-12-31,16447.36842,SunClassic + Radio,Female,35.285,1.086,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,ELGEYO-MARAKWET
809eb674,2023-09-21,10964.91228,SunClassic,Female,39.605,-0.24,Kenya,10416.66667,548.245614,100,95,109.6491228,SunCompany,0.00912,GARISSA
80a05732,2023-05-07,16447.36842,SunClassic + Radio,Female,37.505,-0.37,Kenya,15350.87719,1096.491228,150,140,109.6491228,SunCompany,0.00912,EMBU
